airport,month,day,wind_spd
LGA,2,10,3.2
EWR,10,4,2.7
EWR,11,3,5.9
EWR,3,4,7.0
EWR,3,6,9.2
LGA,3,7,7.7
LGA,1,6,4.3
JFK,11,17,3.0
EWR,12,28,4.6
LGA,2,2,4.7
LGA,2,9,8.4
LGA,4,9,3.8
LGA,12,18,5.6
LGA,2,17,11.2
LGA,1,9,4.2
JFK,12,20,2.7
LGA,3,5,4.4
JFK,12,11,8.2
EWR,4,18,3.2
LGA,11,21,3.1
JFK,10,9,4.8
LGA,1,8,3.8
JFK,11,8,6.9
LGA,2,18,7.3
JFK,3,16,3.4
EWR,10,1,2.5
JFK,10,20,5.7
JFK,12,5,3.1
LGA,12,25,4.4
LGA,2,24,6.2
LGA,2,25,3.5
EWR,3,1,4.6
LGA,1,13,2.6
JFK,10,4,2.8
EWR,12,23,3.9
LGA,3,18,5.5
EWR,1,13,1.5
LGA,10,29,3.7
JFK,11,5,3.0
JFK,3,4,8.9
JFK,3,23,8.0
EWR,10,29,3.3
JFK,12,7,5.7
LGA,3,20,6.3
JFK,3,10,3.2
EWR,3,20,6.0
EWR,3,24,3.8
EWR,11,4,3.8
LGA,12,7,5.5
JFK,10,1,3.6
JFK,1,1,6.8
EWR,1,8,3.2
EWR,2,1,6.9
EWR,12,18,4.3
EWR,2,20,8.8
LGA,4,16,5.4
EWR,1,21,3.0
LGA,12,11,6.5
EWR,1,5,4.3
LGA,12,15,6.5
EWR,2,21,7.6
JFK,4,3,8.3
EWR,10,6,3.1
LGA,10,7,6.1
LGA,11,10,6.7
EWR,12,15,5.5
LGA,12,16,5.5
JFK,3,25,4.4
EWR,4,14,4.5
JFK,10,26,6.4
EWR,1,9,3.0
LGA,1,26,6.5
LGA,10,25,6.3
JFK,11,9,5.1
LGA,2,5,3.5
LGA,2,6,5.1
JFK,10,16,2.4
JFK,1,10,5.4
EWR,3,7,8.7
JFK,1,9,3.5
EWR,10,11,5.8
EWR,11,13,5.1
JFK,2,26,5.5
LGA,3,11,4.4
EWR,4,10,3.5
JFK,12,1,3.0
LGA,12,29,4.5
EWR,10,5,2.6
LGA,11,27,8.5
JFK,1,27,4.3
LGA,3,17,5.5
EWR,1,31,12.1
LGA,10,16,2.9
LGA,1,29,3.5
EWR,10,13,5.1
EWR,11,9,3.9
JFK,11,24,10.9
LGA,2,11,2.0
LGA,3,24,3.9
LGA,1,21,4.1
EWR,1,22,8.0
EWR,10,30,1.8
LGA,3,16,3.7
LGA,2,7,3.9
LGA,2,13,2.7
JFK,12,19,4.5
LGA,2,3,3.1
EWR,4,4,3.8
LGA,4,18,4.6
EWR,4,19,4.7
JFK,4,23,6.7
EWR,5,23,4.9
EWR,6,3,3.4
EWR,4,27,3.3
JFK,5,10,4.3
JFK,9,5,5.3
EWR,9,11,4.4
EWR,9,21,3.7
LGA,6,11,5.6
LGA,6,25,4.2
EWR,9,12,3.6
EWR,4,29,2.6
JFK,6,24,4.7
JFK,9,16,4.4
JFK,5,17,4.0
JFK,8,25,4.7
LGA,4,23,6.2
EWR,6,23,4.1
LGA,7,14,3.3
EWR,5,22,2.4
JFK,6,18,2.6
LGA,6,23,4.8
JFK,8,10,4.6
EWR,8,27,4.4
LGA,5,14,4.8
JFK,6,1,5.1
JFK,8,12,2.5
EWR,9,5,4.7
JFK,4,26,3.9
LGA,7,1,3.9
LGA,7,11,3.8
LGA,8,13,2.9
LGA,8,27,5.0
JFK,8,28,2.0
JFK,8,31,5.1
EWR,9,13,4.9
EWR,5,2,2.1
EWR,8,10,3.8
EWR,8,14,6.3
EWR,9,24,3.7
JFK,9,30,2.8
JFK,5,30,3.8
EWR,8,11,2.5
